date,category,amount,payment_method,notes
2024-02-21,Food,1054,Card,Expense
2024-01-15,Bills,569,Card,Expense
2024-03-12,Entertainment,1498,Cash,Expense
2024-03-01,Bills,1145,UPI,Expense
2024-01-21,Entertainment,849,UPI,Expense
2024-03-23,Entertainment,1793,UPI,Expense
2024-03-27,Shopping,137,Card,Expense
2024-03-15,Entertainment,329,Cash,Expense
2024-03-15,Bills,1488,Card,Expense
2024-03-28,Entertainment,662,Card,Expense
2024-01-24,Shopping,537,UPI,Expense
2024-01-03,Shopping,1899,Card,Expense
2024-01-22,Bills,1406,UPI,Expense
2024-02-22,Transport,126,Cash,Expense
2024-01-02,Transport,325,UPI,Expense
2024-03-28,Entertainment,1400,Cash,Expense
2024-01-30,Food,897,UPI,Expense
2024-02-07,Entertainment,1732,Card,Expense
2024-01-02,Bills,383,Card,Expense
2024-03-04,Bills,978,Cash,Expense
2024-02-29,Bills,1059,Cash,Expense
2024-01-21,Bills,1604,Cash,Expense
2024-02-02,Bills,552,UPI,Expense
2024-03-16,Shopping,1119,UPI,Expense
2024-02-27,Transport,1952,Cash,Expense
2024-01-22,Bills,915,Card,Expense
2024-03-29,Food,758,UPI,Expense
2024-02-18,Food,1639,UPI,Expense
2024-03-31,Food,646,UPI,Expense
2024-02-28,Food,1315,Cash,Expense
2024-02-11,Shopping,1172,Cash,Expense
2024-02-29,Food,1635,Cash,Expense
2024-03-20,Bills,116,Cash,Expense
2024-01-15,Entertainment,1295,Cash,Expense
2024-03-02,Food,1343,Card,Expense
2024-03-02,Shopping,257,Card,Expense
2024-02-16,Shopping,576,Cash,Expense
2024-03-02,Food,1169,UPI,Expense
2024-02-20,Entertainment,1496,Cash,Expense
2024-02-24,Food,617,Card,Expense
2024-03-04,Shopping,198,Card,Expense
2024-01-03,Transport,1868,UPI,Expense
2024-02-20,Bills,1160,Card,Expense
2024-01-07,Shopping,379,Cash,Expense
2024-01-21,Food,1472,UPI,Expense
2024-03-13,Bills,596,Cash,Expense
2024-02-08,Food,401,Cash,Expense
2024-01-18,Food,280,UPI,Expense
2024-01-04,Transport,706,Cash,Expense
2024-03-29,Bills,1222,Card,Expense
2024-02-29,Bills,799,Cash,Expense
2024-01-14,Transport,1092,UPI,Expense
2024-01-09,Shopping,1239,UPI,Expense
2024-03-30,Food,290,UPI,Expense
2024-02-22,Entertainment,352,Cash,Expense
2024-01-02,Food,1080,UPI,Expense
2024-03-24,Food,1027,UPI,Expense
2024-02-29,Shopping,1284,Cash,Expense
2024-03-11,Food,1379,Card,Expense
2024-02-13,Transport,1446,Cash,Expense
2024-01-08,Transport,227,UPI,Expense
2024-02-16,Bills,117,UPI,Expense
2024-02-04,Entertainment,1916,Cash,Expense
2024-03-18,Food,1858,Card,Expense
2024-03-21,Food,665,UPI,Expense
2024-02-05,Shopping,669,UPI,Expense
2024-02-19,Transport,1446,UPI,Expense
2024-01-04,Entertainment,1995,Cash,Expense
2024-01-02,Bills,785,UPI,Expense
2024-01-06,Transport,1915,Card,Expense
2024-02-23,Bills,725,UPI,Expense
2024-01-04,Shopping,1411,UPI,Expense
